City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Lompoc,20,US,1599962858,87,34.64,-120.46,64.0,6.93
Mataura,100,NZ,1599963086,97,-46.19,168.86,48.0,1.99
Severo-Kuril'sk,83,RU,1599963087,79,50.68,156.12,51.22,22.48
Thompson,75,CA,1599963087,80,55.74,-97.86,41.0,5.82
Cabo San Lucas,40,MX,1599963065,78,22.89,-109.91,82.99,9.17
Albany,0,US,1599962925,99,42.6,-73.97,62.01,7.0
Vestmanna,99,FO,1599963087,87,62.16,-7.17,46.4,8.05
Kapaa,20,US,1599963088,55,22.08,-159.32,87.8,9.17
Chokurdakh,0,RU,1599963088,46,70.63,147.92,56.79,5.35
Esperance,0,AU,1599963088,72,-33.87,121.9,60.8,5.82
Rikitea,47,PF,1599963089,82,-23.12,-134.97,73.56,10.65
Bogatyr',1,RU,1599963089,93,53.43,49.95,46.4,6.71
Qaqortoq,77,GL,1599963089,47,60.72,-46.03,35.6,6.93
Chake Chake,63,TZ,1599963089,86,-5.25,39.77,74.35,7.99
Mount Gambier,40,AU,1599963090,62,-37.83,140.77,57.2,14.99
Aras,0,ES,1599963090,82,42.56,-2.36,60.8,0.87
Suntar,100,RU,1599963090,91,62.14,117.63,49.05,4.83
Punta Arenas,100,CL,1599962799,93,-53.15,-70.92,39.2,18.34
Nanortalik,75,GL,1599963091,75,60.14,-45.24,38.01,1.03
Phalombe,35,MW,1599963091,65,-15.81,35.65,62.46,3.67
Abéché,84,TD,1599963092,80,13.83,20.83,77.2,7.0
Butaritari,84,KI,1599963092,72,3.07,172.79,81.7,13.62
Dunedin,100,NZ,1599963093,83,-45.87,170.5,51.01,15.99
Flinders,100,AU,1599963093,41,-34.58,150.86,75.0,13.0
Longyearbyen,75,SJ,1599963093,90,78.22,15.64,37.4,3.36
Port Alfred,75,ZA,1599963094,45,-33.59,26.89,69.22,6.85
Cape Town,75,ZA,1599963094,93,-33.93,18.42,57.0,18.34
Vila Velha,19,BR,1599963094,83,-20.33,-40.29,77.0,6.93
Kaitangata,100,NZ,1599963095,86,-46.28,169.85,50.0,4.0
Yar-Sale,100,RU,1599963095,88,66.83,70.83,50.18,5.41
Dingle,52,PH,1599963095,72,11.0,122.67,85.55,5.41
Sistranda,75,NO,1599963096,87,63.73,8.83,50.0,28.86
São João Batista,91,BR,1599963096,97,-27.28,-48.85,64.99,0.45
Salinópolis,78,BR,1599963097,83,-0.61,-47.36,80.08,12.53
East London,4,ZA,1599963097,39,-33.02,27.91,73.56,4.68
Pevek,0,RU,1599963097,79,69.7,170.31,44.26,3.83
Hawera,75,NZ,1599962955,80,-39.59,174.28,57.0,11.99
Chernushka,89,RU,1599963098,92,56.51,56.08,41.74,3.0
Portland,90,US,1599962584,63,45.52,-122.68,64.4,1.9
New Baltimore,75,US,1599963098,100,42.68,-82.74,69.01,4.7
Saldanha,100,ZA,1599963098,87,-33.01,17.94,57.2,8.05
Avarua,0,CK,1599963098,78,-21.21,-159.78,82.4,9.17
Ushuaia,75,AR,1599963099,89,-54.8,-68.3,41.0,6.93
Lagoa,0,PT,1599963099,73,39.05,-27.98,70.57,6.13
Tabas,0,IR,1599963100,21,33.6,56.92,69.8,2.24
Tasiilaq,99,GL,1599963100,74,65.61,-37.64,33.8,1.81
Saskylakh,40,RU,1599963100,56,71.92,114.08,50.79,4.79
Castro,0,BR,1599963100,40,-24.79,-50.01,67.57,2.86
Neyshabur,0,IR,1599963101,45,36.21,58.8,55.44,0.49
Warrnambool,0,AU,1599963101,73,-38.38,142.48,55.99,8.99
Geraldton,0,AU,1599963101,49,-28.77,114.6,69.8,18.34
Kaikalūr,75,IN,1599963101,94,16.57,81.2,77.0,8.05
Hong Kong,99,HK,1599962990,74,22.29,114.16,84.99,5.01
Jamestown,90,US,1599963102,88,42.1,-79.24,66.0,11.41
Breves,5,BR,1599963102,85,-1.68,-50.48,76.78,4.03
Margate,86,GB,1599963102,91,51.38,1.39,60.01,3.0
Khatanga,56,RU,1599963103,66,71.97,102.5,52.5,7.36
Shahr-e Bābak,0,IR,1599963103,30,30.12,55.12,59.68,7.34
Richards Bay,0,ZA,1599963103,81,-28.78,32.04,66.25,15.3
Dzilam González,94,MX,1599963104,87,21.28,-88.93,77.76,2.37
Qaanaaq,93,GL,1599963104,86,77.48,-69.36,25.47,8.66
Cherskiy,1,RU,1599963104,53,68.75,161.3,51.96,6.93
Miramar,40,US,1599963104,100,25.99,-80.23,77.0,10.29
Tarakan,100,ID,1599963105,76,3.3,117.63,82.26,5.32
Belaya Gora,0,RU,1599963105,40,68.53,146.42,57.97,1.57
Beringovskiy,100,RU,1599963105,91,63.05,179.32,48.2,35.41
Bayan,100,CN,1599963106,69,46.08,127.4,63.0,4.72
Port Elizabeth,91,ZA,1599963106,37,-33.92,25.57,68.0,6.93
Laas,5,IT,1599963106,93,46.62,10.7,59.0,3.36
Uchaly,0,RU,1599963106,94,54.3,59.45,41.5,4.41
Hobart,20,AU,1599963106,41,-42.88,147.33,59.0,19.46
Bathsheba,20,BB,1599963107,88,13.22,-59.52,78.8,2.24
Westport,1,US,1599963107,63,41.14,-73.36,64.99,12.75
Arraial do Cabo,11,BR,1599963108,80,-22.97,-42.03,72.79,30.0
Mount Isa,0,AU,1599963108,23,-20.73,139.5,84.2,11.41
Borogontsy,100,RU,1599963108,70,62.67,131.17,54.54,3.91
